2022-03-25 15:38:51,871 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:38:51,872 - DEBUG - client               Была вызвана функция process_response c параметрами ({'action': 'presence', 'time': 1648211931.871257, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {}. 
2022-03-25 15:38:51,872 - DEBUG - client               Была вызвана функция process_response c параметрами ({'action': 'presence', 'time': 1648211931.8582551, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {}. 
2022-03-25 15:38:51,872 - ERROR - client               Функция process_response с параметрами ({'action': 'presence', 'time': 1648211931.871257, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {} выполнена с ошибкой.
2022-03-25 15:38:51,872 - ERROR - client               Функция process_response с параметрами ({'action': 'presence', 'time': 1648211931.8582551, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {} выполнена с ошибкой.
2022-03-25 15:39:06,785 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:39:06,786 - DEBUG - client               Была вызвана функция process_response c параметрами ({'action': 'presence', 'time': 1648211946.786287, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {}. 
2022-03-25 15:39:06,786 - ERROR - client               Функция process_response с параметрами ({'action': 'presence', 'time': 1648211946.786287, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {} выполнена с ошибкой.
2022-03-25 15:40:51,336 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:40:59,912 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:40:59,913 - DEBUG - client               Была вызвана функция process_response c параметрами ({'action': 'presence', 'time': 1648212059.913404, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {}. 
2022-03-25 15:40:59,913 - ERROR - client               Функция process_response с параметрами ({'action': 'presence', 'time': 1648212059.913404, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {} выполнена с ошибкой.
2022-03-25 15:40:59,913 - DEBUG - client               Была вызвана функция process_response c параметрами ({'action': 'presence', 'time': 1648212051.3369815, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {}. 
2022-03-25 15:40:59,913 - ERROR - client               Функция process_response с параметрами ({'action': 'presence', 'time': 1648212051.3369815, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {} выполнена с ошибкой.
2022-03-25 15:41:25,497 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:41:25,497 - DEBUG - client               Была вызвана функция process_response c параметрами ({'action': 'presence', 'time': 1648212085.4971812, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {}. 
2022-03-25 15:41:25,497 - ERROR - client               Функция process_response с параметрами ({'action': 'presence', 'time': 1648212085.4971812, 'type': 'status', 'user': {'account_name': 'Sergei', 'status': 'Doing my homework!'}},), {} выполнена с ошибкой.
2022-03-25 15:42:50,819 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:43:26,465 - DEBUG - client               Была вызвана функция process_response c параметрами ({'response': 200},), {}. 
2022-03-25 15:43:59,862 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:44:22,237 - DEBUG - client               Была вызвана функция process_response c параметрами ({'response': 200},), {}. 
2022-03-25 15:44:30,907 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:44:39,752 - DEBUG - client               Была вызвана функция process_response c параметрами ({'response': 200},), {}. 
2022-03-25 15:44:56,656 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
2022-03-25 15:45:28,319 - DEBUG - client               Была вызвана функция process_response c параметрами ({'response': 200},), {}. 
2022-03-25 15:45:28,319 - DEBUG - client               Была вызвана функция create_message c параметрами (), {}. 
2022-03-25 15:45:34,085 - DEBUG - client               Была вызвана функция create_message c параметрами (), {}. 
2022-03-25 15:45:45,951 - DEBUG - client               Была вызвана функция create_message c параметрами (), {}. 
2022-03-25 15:46:41,473 - DEBUG - client               Была вызвана функция presence_msg c параметрами (), {}. 
